thread_id,doc_id,num,subnum,op,timestamp,fourchan_date,name,title,referencing_comment,comments,poster_country,nreplies,formatted,media_link
155177930,131559130,155181704,0,0,1514816386,1/1/18(Mon)9:19,Anonymous,NA,"155181371
","https://www.startpage.com/do/dsearch?query=poles+melt&cat=web&pl=opensearch&language=english
lui",NA,NA,FALSE,NA
156455925,132835723,156458481,0,0,1515779479,1/12/18(Fri)12:51,Anonymous,NA,"156457926
","it's a tradition in their country for pregnant women to eat dirt. Fucking dirt. It's real, all of it.
>https://www.youtube.com/watch?v=s3337cj4sJQ
And it's not just Haiti, all black nations eat dirt: 
>https://www.youtube.com/watch?v=vATmFHhLKHE

And guess what? Even the fucking niggers in America eat dirt
>https://www.youtube.com/watch?v=ZbG6XSkBb_s&feature=youtu.be

JUST SEARCH THIS SHIT:
>https://www.youtube.com/results?search_query=eating+argo&page=&utm_source=opensearch",US,NA,FALSE,NA
158079948,134467871,158090832,0,0,1516984653,1/26/18(Fri)11:37,Anonymous,NA,"158089391
","kekking hard here

https://www.youtube.com/results?search_query=kid+crAWLS+into+bathroom+stall&page=&utm_source=opensearch",GB,NA,FALSE,NA
162808574,139135169,162817719,0,0,1520241710,3/5/18(Mon)4:21,Anonymous,NA,"162817065
","trusting chinese with baby milk, i couldnt do that with my conscience
https://www.ecosia.org/search?q=forumla+china&addon=opensearch",DE,NA,FALSE,NA
173190919,149515770,173201838,0,0,1527494158,5/28/18(Mon)3:55,Anonymous,NA,NA,"They are a shit countryChina Uncensored exposes the true face of china. Also pic
https://www.youtube.com/results?search_query=china+uncensored&page=&utm_source=opensearch
Most of the watchers are white and they do a good analysis of why china is bad.",GB,NA,FALSE,https://i.4pcdn.org/pol/1504074130195.png
173256584,149578110,173264202,0,0,1527541478,5/28/18(Mon)17:04,Anonymous,NA,"173262388
",https://www.youtube.com/results?search_query=2nd+parade+rome&page=&utm_source=opensearch,IT,NA,FALSE,NA
175604998,151938683,175625657,0,0,1529353576,6/18/18(Mon)16:26,Anonymous,NA,"175625513
","But he IS a zionist.

https://www.youtube.com/results?search_query=salvini+israele&page=&utm_source=opensearch

Who?",IT,NA,FALSE,NA
177740533,154071968,177759654,0,0,1530910834,7/6/18(Fri)17:00,Anonymous,NA,"177759359
",">>candydoll
>>on the clearweb
>lol what? you got to be shitting me right?

Here you go.
https://www.youtube.com/results?search_query=valensiya+&page=&utm_source=opensearch

https://hooktube.com/watch?v=migZkIYwN-M",IT,NA,FALSE,NA
182765021,159132080,182822025,0,0,1534717827,8/19/18(Sun)18:30,Anonymous,NA,"182765810
","try mushrooms, i won't say i never had such a sever case as you, but when i looked at myself in the mirror on mushrooms i taught ""wow i don't even look as crappy as i ever said i do"", it kinda changes perspectives, even longlasting was this effect like easy 2 weeks, from just a small dose.
https://www.ecosia.org/search?q=mushrooms+depression&addon=opensearch",DE,NA,FALSE,NA
191149940,167447284,191150432,0,0,1540733027,10/28/18(Sun)9:23,Anonymous,NA,"191149940
","There are literal wild hogs running in rome, I mean literal.
https://www.youtube.com/results?search_query=cinghiali+roma&page=&utm_source=opensearch",IT,NA,FALSE,NA
